Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
(Blue's Clues) Blue's Buttons,"Blue has found a jar of old buttons and is having fun creating pictures with them - she wants to take you on a button adventure. In the popular chubby board book format that's perfect for little hands, youngsters will have fun with Blue as they try to guess what Blue's buttons are going to be next.","['Angela C. Santomero', 'Traci Paige Johnson', 'Todd Kessler']",http://books.google.com/books/content?id=ysM9PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ysM9PQAACAAJ&dq=(Blue%27s+Clues)+Blue%27s+Buttons&hl=&cd=1&source=gbs_api,Pocket Books,2002,http://books.google.com/books?id=ysM9PQAACAAJ&dq=(Blue%27s+Clues)+Blue%27s+Buttons&hl=&source=gbs_api,['Blue (Fictitious character)'],
"(ESV) English Standard Version Large Print Bible. Premium Bonded Leather, Black, Red Letter Text (English Language)","The ESV Study Bible, Large Print edition transforms the content of the award-winning ESV Study Bible into a highly readable, large-print type retaining all articles, 20,000 study notes, 240 maps and illustrations, charts, timelines, and book introductions.",['Crossway Bibles'],http://books.google.com/books/content?id=vmvWngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=vmvWngEACAAJ&dq=(ESV)+English+Standard+Version+Large+Print+Bible.+Premium+Bonded+Leather,+Black,+Red+Letter+Text+(English+Language)&hl=&cd=1&source=gbs_api",,2014-07-31,"http://books.google.nl/books?id=vmvWngEACAAJ&dq=(ESV)+English+Standard+Version+Large+Print+Bible.+Premium+Bonded+Leather,+Black,+Red+Letter+Text+(English+Language)&hl=&source=gbs_api",['Bibles'],
"... Eothen,","Eothen is the earliest work of Alexander William Kinglake, best known as the historian of the Crimean War. It is an account of a tour—or rather of selected adventures which occurred during a tour—undertaken in the Levant in 1834, but was not published until ten years later. The biographical notices of the are somewhat meagre, as by his dying directions all his papers were destroyed. He was born near Taunton in 1809, and educated at Eton and Trinity College, Cambridge, at which latter he is said to have been the friend of Thackeray and Tennyson. On leaving college he started on his Oriental tour with Lord Pollington (the Methley of Eothen), and on returning to England was called to the Bar at Lincoln’s Inn, and obtained a lucrative practice. But the life was too tame to suit his taste. In 1845 he visited Algeria, and went through a campaign with the flying column of St. Arnaud; and in 1854 went to the Crimea with Lord Raglan, and was present at the battle of Alma. On returning to England he decided to go into politics, and was elected for Bridgewater in 1857 in the Liberal interest. He seems to have been a poor speaker, and to have exercised little parliamentary influence; but we are told that in 1859 he was strongly opposed to the Conspiracy Bill, which was introduced after Orsini’s attempt to murder Napoleon III., and that in 1860 he denounced the cession of Nice and Savoy to France. In both cases he was apparently actuated by his personal dislike of Napoleon, which is evident in his historical works. In 1868 he was again returned for Bridgewater, but unseated on petition, for bribery. One might have supposed that he had acquired this habit in the East, but his biographers assert that he knew nothing of the irregularities which were committed by his agents. But the chief business of his later life was the composition of the History of the War in the Crimea, of which the first two volumes appeared in 1863, and the seventh and eighth (completing the work) in 1887. He died in 1891.",['Alexander William Kinglake'],http://books.google.com/books/content?id=zyYlDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=zyYlDQAAQBAJ&printsec=frontcover&dq=...+Eothen,&hl=&cd=1&source=gbs_api",Library of Alexandria,2020-09-28,https://play.google.com/store/books/details?id=zyYlDQAAQBAJ&source=gbs_api,['Middle East'],2.0
... Summer moonshine,"""Summer Moonshine"" involves Sir Buckstone Abbott trying to sell what is probably the ugliest home in England, as well as a complicated love quadrangle.",['Pelham Grenville Wodehouse'],http://books.google.com/books/content?id=5H1bAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=5H1bAAAAMAAJ&q=...+Summer+moonshine&dq=...+Summer+moonshine&hl=&cd=1&source=gbs_api,Penguin Mass Market,1972,http://books.google.com/books?id=5H1bAAAAMAAJ&dq=...+Summer+moonshine&hl=&source=gbs_api,['Fiction'],1.0
"1,000 Places to See Before You Die: A Traveler's Life List","The world’s bestselling travel book is back in a more informative, more experiential, more budget-friendly full-color edition. A #1 New York Times bestseller, 1,000 Places reinvented the idea of travel book as both wish list and practical guide. As Newsweek wrote, it “tells you what’s beautiful, what’s fun, and what’s just unforgettable— everywhere on earth.” And now the best is better. There are 600 full-color photographs. Over 200 entirely new entries, including visits to 28 countries like Lebanon, Croatia, Estonia, and Nicaragua, that were not in the original edition. There is an emphasis on experiences: an entry covers not just Positano or Ravello, but the full 30-mile stretch along the Amalfi Coast. Every entry from the original edition has been readdressed, rewritten, and made fuller, with more suggestions for places to stay, restaurants to visit, festivals to check out. And throughout, the book is more budget-conscious, starred restaurants and historic hotels such as the Ritz, but also moderately priced gems that don’t compromise on atmosphere or charm. The world is calling. Time to answer.",['Patricia Schultz'],http://books.google.com/books/content?id=AWNSZWBIIzIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=AWNSZWBIIzIC&printsec=frontcover&dq=1,000+Places+to+See+Before+You+Die:+A+Traveler%27s+Life+List&hl=&cd=1&source=gbs_api",Workman Publishing,2015-07-01,"http://books.google.com/books?id=AWNSZWBIIzIC&dq=1,000+Places+to+See+Before+You+Die:+A+Traveler%27s+Life+List&hl=&source=gbs_api",['Travel'],507.0
10 Secrets for Success and Inner Peace,"Best-selling author and lecturer Wayne W. Dyer has written a thought-provoking book for those of us who have chosen to consciously be on our life path. The ten ""secrets"" for success and inner peace presented here apply whether you’re just embarking on your path, are nearing the end of it, or are on the path in any way. Dr. Dyer urges you to read these ten secrets with an open heart. By doing so, you’ll learn to feel the peace of God that truly defines success.",['Dr. Wayne W. Dyer'],http://books.google.com/books/content?id=AiQ6EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=AiQ6EAAAQBAJ&printsec=frontcover&dq=10+Secrets+for+Success+and+Inner+Peace&hl=&cd=1&source=gbs_api,"Hay House, Inc",2021-08-24,http://books.google.com/books?id=AiQ6EAAAQBAJ&dq=10+Secrets+for+Success+and+Inner+Peace&hl=&source=gbs_api,['Self-Help'],
10 Stupid Things Couples Do To Mess Up Their Relationships,"The author of Ten Stupid Things Women Do to Mess Up Their Lives creates a list of common relationship foibles of couples on the verge of breakup. 150,000 first printing.",['Laura Schlessinger'],http://books.google.com/books/content?id=nXe8h-cgXy0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=nXe8h-cgXy0C&printsec=frontcover&dq=10+Stupid+Things+Couples+Do+To+Mess+Up+Their+Relationships&hl=&cd=1&source=gbs_api,Dr. Laura Schlessinger,2001-12-24,http://books.google.com/books?id=nXe8h-cgXy0C&dq=10+Stupid+Things+Couples+Do+To+Mess+Up+Their+Relationships&hl=&source=gbs_api,['Family & Relationships'],6.0
100 Amazing Facts About the Negro with Complete Proof (A Short Cut to the World History of the Negro),"First published in 1934 and revised in 1962, this book gathers journalist and historian Joel Augustus Rogers’ columns from the syndicated newspaper feature titled Your History. Patterned after the look of Ripley’s popular Believe It or Not the multiple vignettes in each episode recount short items from Rogers’s research. The feature began in the Pittsburgh Courier in November 1934 and ran through the 1960s.",['J. A. Rogers'],http://books.google.com/books/content?id=JusKBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JusKBgAAQBAJ&printsec=frontcover&dq=100+Amazing+Facts+About+the+Negro+with+Complete+Proof+(A+Short+Cut+to+the+World+History+of+the+Negro)&hl=&cd=1&source=gbs_api,Wesleyan University Press,2014-09-15,https://play.google.com/store/books/details?id=JusKBgAAQBAJ&source=gbs_api,['Social Science'],1.0
100 amazing facts about the Negro: With complete proof : a short cut to the world history of the Negro,"First published in 1934 and revised in 1962, this book gathers journalist and historian Joel Augustus Rogers' columns from the syndicated newspaper feature titled Your History. Patterned after the look of Ripley's popular Believe It or Not the multiple vignettes in each episode recount short items from Rogers's research. The feature began in the Pittsburgh Courier in November 1934 and ran through the 1960s.",['Joel Augustus Rogers'],http://books.google.com/books/content?id=mrXUrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=mrXUrQEACAAJ&dq=100+amazing+facts+about+the+Negro:+With+complete+proof+:+a+short+cut+to+the+world+history+of+the+Negro&hl=&cd=1&source=gbs_api,CreateSpace,2014-11-23,http://books.google.nl/books?id=mrXUrQEACAAJ&dq=100+amazing+facts+about+the+Negro:+With+complete+proof+:+a+short+cut+to+the+world+history+of+the+Negro&hl=&source=gbs_api,['History'],
100 Amazing Facts About the Negro;,"""In 1934, 100 Amazing Facts About the Negro With Complete Proof: A Short Cut to the World History of the Negro was published by Joel A. Rogers, a largely self-educated black journalist and historian. Now ... Henry Louis Gates, Jr., gives us a corrective yet loving homage to Rogers's work. Relying on the latest scholarship, Gates leads us on a romp through African American history and gossip in question and answer format""--Provided by publisher.",['Henry Louis Gates (Jr.)'],http://books.google.com/books/content?id=zBg3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=zBg3DwAAQBAJ&printsec=frontcover&dq=100+Amazing+Facts+About+the+Negro%3B&hl=&cd=1&source=gbs_api,Pantheon,2017,http://books.google.com/books?id=zBg3DwAAQBAJ&dq=100+Amazing+Facts+About+the+Negro%3B&hl=&source=gbs_api,['History'],2.0
